PKLT_CD,PKLT_NM,ADDR,OPER_SE_NM,PRK_STTS_YN,TPKCT,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,NGHT_PAY_YN_NM,WD_OPER_BGNG_TM,WD_OPER_END_TM,WE_OPER_BGNG_TM,WE_OPER_END_TM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,SAT_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,DAY_MAX_CRG,LAT,LOT
1511816,마른내길 공영주차장(시),중구 인현동1가 87-10,시간제 주차장,1,1.0,13.0,2024-11-15 16:41:51,야간 미개방,900,1900,900,1500,0,0,N,Y,680.0,5.0,680.0,5.0,0.0,37.56433412,126.99333632
1512125,청계8가 공영주차장(시),중구 흥인동 162-1 0,시간제 주차장,1,1.0,14.0,2024-11-15 16:42:03,야간 미개방,900,1900,900,1500,0,0,N,Y,500.0,5.0,500.0,5.0,0.0,37.56996584,127.01717516
1512129,청계3(동호로) 공영주차장(시),중구 방산동 4-47 0,시간제 주차장,1,1.0,6.0,2024-11-15 16:41:54,야간 미개방,900,1900,900,1500,0,0,N,Y,750.0,5.0,750.0,5.0,0.0,37.56851102,127.00200955
1540689,청계8가(남) 공영주차장(시),성동구 상왕십리동 12-47,시간제 주차장,1,1.0,34.0,2024-11-15 16:42:00,야간 미개방,900,1900,900,1500,0,0,N,Y,450.0,5.0,450.0,5.0,0.0,37.56965106,127.03197022
1545252,문래1동 공영주차장(시),영등포구 문래동3가 54-12,시간제 주차장,1,1.0,9.0,2024-11-15 16:41:57,야간 미개방,900,1900,900,1500,0,0,N,Y,130.0,5.0,130.0,5.0,0.0,37.5135531,126.89703007
1561603,여의서로 공영주차장(시),영등포구 여의도동 8-1,시간제 주차장,1,1.0,39.0,2024-11-15 16:41:58,야간 미개방,900,1900,900,1500,0,0,N,Y,160.0,5.0,160.0,5.0,0.0,37.53320847,126.91685164
1562029,대림역 공영주차장(시),영등포구 대림동 808-24,시간제 주차장,1,1.0,11.0,2024-11-15 16:41:57,야간 미개방,900,1900,900,1500,0,2400,N,N,260.0,5.0,260.0,5.0,0.0,37.49358291,126.89520856
1575315,남부여성발전센터 공영주차장(시),금천구 시흥동 139-2,시간제 주차장,1,128.0,74.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,120.0,5.0,120.0,5.0,8600.0,37.462917,126.905718
1575751,신방화역 공영주차장(시),강서구 마곡동 739-0,시간제 주차장,1,199.0,154.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,170.0,5.0,170.0,5.0,12200.0,37.56706812,126.81757628
1576126,진흥로 공영주차장(시),은평구 역촌동 41-8,시간제 주차장,1,1.0,9.0,2024-11-15 16:41:52,야간 미개방,900,1800,0,0,0,0,Y,Y,200.0,5.0,200.0,5.0,0.0,37.60413669,126.92158682
1576208,온수역(남) 공영주차장(시),구로구 온수동 51-26,시간제 주차장,1,1.0,20.0,2024-11-15 16:41:55,야간 미개방,900,1900,900,1500,0,0,N,Y,170.0,5.0,170.0,5.0,0.0,37.49194136,126.82423413
1576313,옥수역 공영주차장(시),성동구 옥수동 401-1,시간제 주차장,1,1.0,17.0,2024-11-15 16:42:00,야간 미개방,900,1900,900,1500,0,0,N,Y,170.0,5.0,170.0,5.0,0.0,37.54216427,127.01730985
1576347,돈화문로 공영주차장(시),중구 을지로3가 296-24,시간제 주차장,1,1.0,24.0,2024-11-15 16:41:50,야간 미개방,900,1900,900,1500,0,0,N,Y,750.0,5.0,750.0,5.0,0.0,37.565437,126.992815
1576512,도봉로 15길 공영주차장(시),강북구 미아동 458-7,시간제 주차장,1,1.0,13.0,2024-11-15 16:41:51,야간 미개방,900,1800,0,0,0,0,Y,Y,200.0,5.0,200.0,5.0,0.0,37.61690023,127.02807164
1576530,원효대교 남단 공영주차장(시),영등포구 여의도동 5-0,시간제 주차장,1,1.0,4.0,2024-11-15 16:41:58,야간 미개방,0,2400,0,2400,0,2400,N,N,160.0,5.0,160.0,5.0,0.0,37.52232342,126.93673055
1576703,가양라이품 공영주차장(시),강서구 가양동 1457-1,시간제 주차장,1,38.0,31.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,170.0,5.0,170.0,5.0,12200.0,37.57155732,126.84165292
1577094,마른내로 공영주차장(시),중구 오장동 69-3,시간제 주차장,1,1.0,8.0,2024-11-15 16:42:00,야간 미개방,900,1800,0,0,0,0,Y,Y,620.0,5.0,620.0,5.0,0.0,37.56451787,126.99959894
1583447,청계8가(북) 공영주차장(시),동대문구 신설동 109-2,시간제 주차장,1,1.0,16.0,2024-11-15 16:41:50,야간 미개방,900,1900,900,1500,0,0,N,Y,450.0,5.0,450.0,5.0,0.0,37.57063582,127.02824815
1583862,보라매상업 공영주차장(시),동작구 신대방동 431-3,시간제 주차장,1,64.0,55.0,2024-11-15 16:41:50,야간 미개방,900,2100,900,2100,900,2100,N,N,220.0,5.0,220.0,5.0,15800.0,37.49039184,126.92340595
1585237,영동6교밑 공영주차장(시),강남구 대치동 512-1,시간제 주차장,1,1.0,21.0,2024-11-15 16:41:59,야간 미개방,900,1900,900,1700,900,1700,N,N,260.0,5.0,260.0,5.0,0.0,37.49445303,127.07087123
1586294,배오개길 공영주차장(시),중구 예관동 22-1,시간제 주차장,1,1.0,11.0,2024-11-15 16:41:51,야간 미개방,900,1900,900,1500,0,0,N,Y,680.0,5.0,680.0,5.0,0.0,37.56552814,126.99815615
1588341,신월4동 공영주차장(시),양천구 신월동 411-1,시간제 주차장,1,46.0,24.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,120.0,5.0,120.0,5.0,8600.0,37.525643,126.837692
1594991,삼각지고가밑 공영주차장(시),용산구 문배동 12-1,시간제 주차장,1,1.0,13.0,2024-11-15 16:41:50,야간 미개방,900,1900,900,1500,0,0,N,Y,250.0,5.0,250.0,5.0,0.0,37.53711786,126.9693191
1913393,장안1동 공영주차장(시),동대문구 장안동 392-3,시간제 주차장,1,71.0,60.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,130.0,5.0,130.0,5.0,9300.0,37.56941,127.066994
3187200,파미에(반포천) 주차장(시),서초구 반포동 118-3,시간제 주차장,1,1186.0,0.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,440.0,5.0,440.0,5.0,31600.0,37.504517,127.007933
3246959,중곡1동 공영주차장(시),광진구 중곡동 230-12,시간제 주차장,1,140.0,0.0,2024-11-15 16:41:50,야간 미개방,0,2400,0,2400,0,2400,N,N,200.0,5.0,200.0,5.0,14400.0,37.5645259,127.0807859
